frequency,Re(Z),Img(Z)
759.0,88376.4000000002,-4371.619999999755
692.0,88313.99999999971,-4060.9999999997463
631.0,88505.99999999984,-3767.679999999493
575.0,87995.00000000025,-2874.419999999927
525.0,87784.20000000039,-2598.6800000001203
479.0,87740.40000000053,-2466.7000000000703
437.0,87587.99999999975,-2419.139999999996
398.0,87578.80000000035,-1966.499999999863
363.0,87542.00000000042,-1770.299999999816
331.0,87412.19999999963,-1563.339999999895
302.0,87217.40000000004,-1518.57999999972
275.0,87112.7999999996,-1185.3599999996798
251.0,86931.79999999933,-1245.0799999996975
229.0,86995.00000000038,-1527.7200000001585
209.0,86985.00000000036,-1533.2200000001717
191.0,86961.20000000033,-1567.9400000001997
174.0,86819.7999999997,-1820.5000000002497
158.0,86571.39999999946,-1778.9660000002427
145.0,86571.39999999946,-1778.9660000002427
132.0,86441.99999999971,-1801.820000000441
120.0,85126.99999999999,2033.9000000003916
110.0,83728.3999999996,10851.28000000038
100.0,81040.00000000006,-6041.159999999699
91.2,81284.60000000011,-11670.979999999754
83.2,82234.60000000012,-12004.33999999988
75.9,86452.19999999981,-4650.220000000256
69.2,86797.40000000017,-6269.160000000542
63.1,85313.40000000013,-13976.620000000406
57.5,85653.59999999954,-13343.58000000067
52.5,86099.19999999959,-12766.24000000065
47.9,86841.79999999945,-11213.340000000637
43.7,88149.19999999956,-6080.780000000333
39.8,88166.79999999967,-5832.040000000284
36.3,85182.0,-4815.719999999887
33.1,89364.40000000056,-7275.719999999611
30.2,90900.59999999971,-6707.040000000049
27.5,91587.39999999934,-8236.719999999881
25.1,91295.00000000012,-7977.960000000189
22.9,91830.99999999956,-8634.539999999668
20.9,89583.39999999957,268.39999999975265
19.1,81037.39999999972,32919.83999999993
17.4,86402.39999999953,-5290.720000000088
15.8,65522.40000000025,-49001.95999999967
14.5,90907.2000000006,-1077.0999999995165
13.2,96137.60000000036,-6776.899999999978
12.0,92995.1999999996,-4620.0599999999085
11.0,89284.00000000022,25862.400000000067
10.0,93110.19999999968,-23044.43999999943
9.12,98846.39999999967,-12905.3199999998
8.32,99656.20000000032,-12873.46000000004
7.59,100825.59999999987,-13189.799999999845
6.92,102354.00000000048,-14578.79999999992
6.31,103534.80000000072,-14521.600000000284
5.75,104245.80000000085,-14639.600000000231
5.25,104993.8000000008,-14901.000000000044
4.79,106253.80000000072,-15298.99999999983
4.37,106884.00000000012,-15556.599999999791
3.98,108313.99999999929,-15634.999999999744
3.63,109140.0,-15975.400000000143
3.31,110285.99999999936,-16339.00000000023
3.02,111571.9999999993,-16572.600000000257
2.75,112671.99999999936,-16641.200000000277
2.51,113153.99999999932,-16733.400000000278
2.29,115635.99999999942,-17305.800000000265
2.09,116675.99999999945,-17516.600000000264
1.91,118493.99999999968,-17950.20000000023
1.74,118843.99999999972,-18036.800000000247
1.58,118983.99999999974,-18066.800000000232
1.45,119791.99999999968,-18310.40000000005
