frequency,Re(Z),Img(Z)
17400.0,22885.60000000008,-30233.99999999982
15800.0,27193.19999999996,-32661.19999999993
14500.0,28448.999999999905,-34129.200000000375
13200.0,32117.79999999998,-35684.40000000037
12000.0,35591.99999999984,-36776.40000000079
11000.0,38221.599999999846,-37010.20000000044
10000.0,42533.20000000014,-37084.79999999986
9120.0,47344.39999999979,-36871.40000000024
8320.0,48914.59999999965,-36900.40000000043
7590.0,51629.399999999645,-36307.400000000926
6920.0,54984.59999999982,-35613.000000001026
6310.0,60318.80000000012,-33680.800000000694
5750.0,63040.80000000024,-31442.40000000041
5250.0,64799.60000000028,-30625.80000000032
4790.0,66054.2000000001,-29628.40000000031
4370.0,68779.59999999986,-27624.7999999998
3980.0,70947.39999999956,-26037.199999999622
3630.0,72615.99999999967,-23787.19999999957
3310.0,74388.2000000001,-20744.400000000274
3020.0,75000.80000000019,-20276.200000000452
2750.0,76250.9999999998,-18140.200000000168
2510.0,76418.79999999976,-17700.220000000172
2290.0,76778.19999999994,-14876.159999999343
2090.0,77656.39999999957,-13789.739999999594
1910.0,78241.79999999961,-13048.219999999705
1740.0,78741.99999999958,-10866.05999999998
1580.0,78903.19999999959,-8525.580000000291
1450.0,78883.1999999996,-8435.060000000301
1320.0,79128.59999999964,-8284.600000000357
1200.0,79316.20000000043,-7254.880000000048
1100.0,79412.20000000067,-6796.440000000308
1000.0,79515.60000000073,-5832.41999999997
912.0,79526.0000000007,-5227.419999999856
832.0,79517.40000000063,-4919.283999999822
759.0,79544.40000000045,-4075.903999999936
692.0,79411.20000000036,-3545.9459999999294
631.0,79285.79999999984,-3140.085999999806
575.0,79224.79999999967,-2785.0059999997998
525.0,79156.79999999962,-2024.8859999998783
479.0,79153.99999999962,-2012.9259999998585
437.0,79042.5999999997,-1787.473999999656
398.0,78995.1999999998,-1641.7579999996085
363.0,78916.20000000027,-1187.3659999998222
331.0,78881.60000000021,-1119.1559999997992
302.0,78869.00000000022,-1021.1259999999696
275.0,78680.79999999965,-965.0959999995624
251.0,78649.59999999963,-949.027999999636
229.0,78376.7999999997,-880.9480000002224
209.0,78278.7999999998,-866.4560000003393
191.0,78247.59999999983,-856.3840000003946
174.0,78153.59999999992,-884.8040000001009
158.0,78123.39999999992,-827.6680000001234
145.0,78110.59999999993,-849.3640000000335
132.0,78095.99999999999,-1070.6999999997531
120.0,78092.80000000009,-1131.917999999767
110.0,78165.60000000027,-652.920000000067
100.0,78081.8000000001,-1573.590000000088
91.2,78059.6000000003,-1908.5420000001304
83.2,78063.20000000035,-2035.560000000212
75.9,78071.00000000032,-1897.1800000003043
69.2,78264.59999999999,-2419.220000000255
63.1,78373.59999999974,-2694.860000000089
57.5,78433.39999999956,-2597.9199999997177
52.5,78147.5999999998,-2274.77999999972
47.9,78191.00000000003,-2428.359999999819
43.7,78697.60000000066,-3421.3200000000725
39.8,78864.40000000052,-4036.300000000028
36.3,78993.60000000003,-4295.340000000235
33.1,79408.20000000017,-4552.679999999812
30.2,79600.59999999974,-4837.819999999776
27.5,79947.59999999973,-5271.040000000192
25.1,80193.20000000001,-5537.639999999913
22.9,80470.19999999994,-5940.0999999998885
20.9,80719.59999999996,-5341.679999999603
19.1,80435.19999999963,620.8000000003369
17.4,81626.1999999999,-6312.639999999741
15.8,78837.39999999985,-14881.480000000498
14.5,83220.1999999998,-6630.420000000373
13.2,83291.20000000013,-8058.37999999982
12.0,83664.19999999991,-8224.899999999854
11.0,84201.20000000061,-2285.9000000001392
10.0,84859.40000000005,-10231.060000000569
9.12,84800.40000000001,-9612.880000000545
8.32,85294.39999999995,-9817.180000000404
7.59,86149.59999999985,-10205.26000000026
6.92,87032.19999999962,-10644.319999999909
6.31,87579.59999999934,-10844.240000000003
5.75,87726.79999999945,-10976.140000000014
5.25,89062.0000000001,-11612.220000000032
4.79,89384.0000000001,-11771.020000000057
4.37,90458.0000000004,-12196.860000000086
3.98,91279.79999999973,-12487.80000000023
3.63,91938.80000000026,-12636.999999999827
3.31,93009.3999999998,-13092.000000000202
3.02,93663.7999999996,-13332.400000000318
2.75,94790.1999999994,-13702.000000000611
2.51,95406.60000000028,-13811.000000000073
2.29,96952.40000000077,-14201.800000000358
2.09,97689.40000000088,-14413.800000000543
1.91,98078.80000000085,-14577.200000000676
1.74,99003.60000000049,-14865.19999999994
1.58,100579.99999999984,-15119.000000000187
