Frequency,Ionic radius ,Temperature,Re(Z),Img(Z)
25100.0,1.82e-10,20,54180.399999999696,45879.80000000006
23300.0,1.82e-10,20,55143.6000000001,46783.60000000026
21500.0,1.82e-10,20,56846.99999999987,48501.20000000013
19900.0,1.82e-10,20,58708.00000000014,50553.20000000006
18500.0,1.82e-10,20,59883.20000000016,51747.20000000001
17100.0,1.82e-10,20,61165.400000000176,52962.20000000001
15800.0,1.82e-10,20,63540.000000000124,55257.80000000004
14700.0,1.82e-10,20,64762.600000000035,56422.59999999993
13600.0,1.82e-10,20,67877.9999999998,59477.59999999963
12600.0,1.82e-10,20,70062.99999999965,61677.99999999944
11700.0,1.82e-10,20,72379.99999999964,63742.59999999934
10800.0,1.82e-10,20,77954.8000000001,68231.59999999931
10000.0,1.82e-10,20,81590.20000000026,71715.59999999925
9260.0,1.82e-10,20,83799.19999999981,73490.99999999936
8570.0,1.82e-10,20,89480.59999999958,77519.79999999933
7940.0,1.82e-10,20,92655.99999999943,79691.99999999946
7350.0,1.82e-10,20,96478.59999999932,82152.80000000002
6810.0,1.82e-10,20,101211.79999999993,84470.19999999883
6310.0,1.82e-10,20,103528.40000000049,85919.9999999991
5840.0,1.82e-10,20,103916.40000000049,85959.5999999991
5410.0,1.82e-10,20,108699.60000000056,87553.59999999897
5010.0,1.82e-10,20,115013.60000000066,89599.99999999885
4640.0,1.82e-10,20,127516.60000000079,93775.99999999865
4300.0,1.82e-10,20,132624.20000000048,95145.59999999902
3980.0,1.82e-10,20,140694.4,96708.99999999936
3690.0,1.82e-10,20,144565.99999999965,97087.20000000064
3420.0,1.82e-10,20,151727.9999999992,97185.40000000138
3160.0,1.82e-10,20,160312.00000000087,96257.40000000145
2930.0,1.82e-10,20,164796.00000000064,95549.20000000147
2710.0,1.82e-10,20,171405.99999999983,94374.20000000023
2510.0,1.82e-10,20,180682.00000000087,91760.79999999925
2330.0,1.82e-10,20,184874.00000000058,90536.99999999948
2150.0,1.82e-10,20,191711.99999999919,88070.40000000125
2000.0,1.82e-10,20,195260.00000000047,86457.60000000127
1850.0,1.82e-10,20,200419.9999999995,83198.200000001
1710.0,1.82e-10,20,204889.9999999987,80129.80000000107
1580.0,1.82e-10,20,211572.00000000148,75874.40000000085
1470.0,1.82e-10,20,214240.00000000186,74133.20000000071
1360.0,1.82e-10,20,219201.99999999884,69130.7999999994
1260.0,1.82e-10,20,221672.0000000005,66549.39999999934
1170.0,1.82e-10,20,223448.0000000007,64442.399999999645
1080.0,1.82e-10,20,229181.99999999968,57277.00000000061
1000.0,1.82e-10,20,231299.9999999993,54804.99999999944
926.0,1.82e-10,20,233315.99999999994,51211.19999999941
858.0,1.82e-10,20,234421.9999999991,48655.59999999953
794.0,1.82e-10,20,236051.99999999968,44603.199999999655
736.0,1.82e-10,20,236841.9999999998,42608.599999999664
681.0,1.82e-10,20,239072.00000000038,37130.79999999926
631.0,1.82e-10,20,239910.000000001,34640.19999999957
584.0,1.82e-10,20,241518.0000000002,30855.39999999918
541.0,1.82e-10,20,241204.0000000008,29099.199999999444
501.0,1.82e-10,20,241112.00000000116,25391.199999999502
464.0,1.82e-10,20,241272.0000000008,22712.39999999952
430.0,1.82e-10,20,241318.00000000073,21657.799999999595
398.0,1.82e-10,20,241857.99999999983,17682.399999999667
369.0,1.82e-10,20,241855.9999999998,15786.600000000082
341.0,1.82e-10,20,241062.00000000137,13215.00000000003
316.0,1.82e-10,20,241016.00000000148,11427.239999999701
